day,p09,p16,overnight,intraday,gap_days
2017-08-18,308.47,293.83,0.02277851458885949,-0.047460044736927554,1.0
2017-08-19,290.85,293.31,-0.010141918796582883,0.008457968024754958,1.0
2017-08-20,296.92,297.88,0.012307797211141835,0.003233194126363914,1.0
2017-08-21,331.3,329.71,0.11219282932724584,-0.0047992755810444265,1.0
2017-08-22,311.23,307.03,-0.05604925540626604,-0.013494843042123339,1.0
2017-08-23,316.96,318.57,0.03234211640556306,0.005079505300353393,1.0
2017-08-24,322.0,321.23,0.01076686442540109,-0.0023913043478260843,1.0
2017-08-25,330.7,328.71,0.029480434579584713,-0.006017538554581203,1.0
2017-08-26,330.11,331.19,0.004259073347327558,0.0032716367271514724,1.0
2017-08-27,333.57,339.64,0.007186207313022663,0.01819708007314813,1.0
2017-08-28,341.76,344.3,0.006241903191614773,0.0074321161048689355,1.0
2017-08-29,358.42,367.44,0.04101074644205638,0.025166006361252213,1.0
2017-08-30,382.01,383.38,0.03965273241889822,0.003586293552524822,1.0
2017-08-31,387.41,384.45,0.010511763785278294,-0.007640484241501322,1.0
2017-09-01,388.8,388.08,0.011314865392118678,-0.0018518518518518823,1.0
2017-09-02,351.92,336.18,-0.09317666460523599,-0.044726074107751757,1.0
2017-09-03,343.0,343.03,0.020286751145219828,8.746355685129714e-05,1.0
2017-09-04,280.03,296.43,-0.18365740605777925,0.058565153733528774,1.0
2017-09-05,299.16,318.26,0.009209594170630497,0.06384543388153485,1.0
2017-09-07,334.37,333.52,0.05061899076226983,-0.002542094087388258,2.0
2017-09-08,326.62,294.06,-0.02068841448788672,-0.09968771048925362,1.0
2017-09-09,302.02,298.76,0.02706930558389442,-0.010793987153168594,1.0
2017-09-10,281.0,302.78,-0.059445708930245034,0.07750889679715289,1.0
2017-09-11,294.32,295.56,-0.027941079331527785,0.00421310138624631,1.0
2017-09-12,306.03,295.07,0.03542427933414527,-0.035813482338332814,1.0
2017-09-13,269.5,266.1,-0.08665740332802385,-0.01261595547309824,1.0
2017-09-14,236.95,234.22,-0.10954528372792194,-0.011521418020679408,1.0
2017-09-15,227.0,259.01,-0.030825719409102503,0.1410132158590307,1.0
2017-09-16,250.98,246.62,-0.031002663989807333,-0.017371902143597073,1.0
2017-09-17,244.0,262.06,-0.01062363149785095,0.07401639344262301,1.0
2017-09-18,298.17,288.0,0.13779287186140587,-0.03410805916088144,1.0
2017-09-19,289.02,282.0,0.003541666666666554,-0.024288976541415708,1.0
2017-09-20,284.11,288.0,0.007482269503546135,0.013691879905670223,1.0
2017-09-21,283.1,260.87,-0.017013888888888773,-0.07852348993288594,1.0
2017-09-22,255.84,259.99,-0.01928163453060916,0.016221075672295138,1.0
