day,overnight,intraday
2015-06-29,-0.00829955062895038,-0.012621740094492462
2015-06-30,0.008867545359797724,-0.006552249624729556
2015-07-01,0.009014184845368423,-0.0011387705832782702
2015-07-02,0.0027190642314796065,-0.0037463403541684315
2015-07-06,-0.007149949214247497,0.004218560516802361
2015-07-07,0.0012190445666668825,0.005241797187607089
2015-07-08,-0.006260768692744723,-0.010677744970129854
2015-07-09,0.012291052114060896,-0.010279118932662756
2015-07-10,0.011604008867541094,0.001044365562188121
2015-07-13,0.007308632966381401,0.0035881850235721657
2015-07-14,-0.00021993514732832065,0.004687341358031505
2015-07-15,0.00020772862781215373,-0.0005781514869158677
2015-07-16,0.005964583181223393,0.0020713181064468955
2015-07-17,-5.014374540357469e-05,0.000924919905279209
2015-07-20,0.001269198011589756,-0.0007561058325781245
2015-07-21,-0.0007900608124272734,-0.003246265124644321
2015-07-22,-0.0037484358240973403,0.0020915457813017735
2015-07-23,0.0006435006435006052,-0.006481196700685032
2015-07-24,0.0006529105174879479,-0.010934740299917922
2015-07-27,-0.00521502746846525,-0.0008289456383165916
2015-07-28,0.005149448436856163,0.007303217286368069
2015-07-29,0.0007515865256924048,0.006222754274614273
2015-07-30,-0.003069688092752876,0.0033493388573970773
2015-07-31,0.002838837086657442,-0.0044420077427438365
2015-08-03,-0.00021353833013026957,-0.0032206209671979957
2015-08-04,-0.0004341868582351527,-0.001449798607742081
2015-08-05,0.005067538938698046,-0.0018211864692591062
2015-08-06,0.0010755594598552687,-0.009056493393259868
2015-08-07,-0.0009650153550974094,-0.0011023165694089565
2015-08-10,0.006314029090040307,0.006234843902797493
2015-08-11,-0.007527582410174594,-0.0014716536859263885
2015-08-12,-0.007533501122372721,0.008847232455464038
2015-08-13,-0.0009228225916029231,-0.0003740033660303288
2015-08-14,-0.001026059647511568,0.0046759201461792355
2015-08-17,-0.0033663567660382476,0.008960045338622935
2015-08-18,-0.0016176957945527315,-0.001395272950270865
2015-08-19,-0.004101523986591249,-0.003575327974112863
2015-08-20,-0.008913617395747586,-0.012115830779365955
2015-08-21,-0.011046680197158598,-0.020358263214987127
2015-08-24,-0.05122311803822299,0.010989496262183485
2015-08-25,0.030813006608135574,-0.041599322013378015
2015-08-26,0.025700624672347017,0.01244519434454916
2015-08-27,0.013034249116554042,0.011419582602848255
2015-08-28,-0.0037991665578362976,0.0038672847966250146
2015-08-31,-0.0059002653338635636,-0.00216751356935152
2015-09-01,-0.023080605589133052,-0.00679926249441043
2015-09-02,0.014690735955298795,0.003962923567846666
2015-09-03,0.00452242140249548,-0.0036884356693425158
2015-09-04,-0.013786053039101964,-0.0014659608790856815
2015-09-08,0.017635785102644963,0.007394440587933371
2015-09-09,0.009689016717598475,-0.022711222679176468
2015-09-10,-0.0011841146465872976,0.006705778642429383
2015-09-11,-0.002542454767253566,0.007017140227769447
2015-09-14,0.0009679785481524483,-0.004522875659961345
2015-09-15,0.00299878117948027,0.009318358188304288
2015-09-16,0.0018893789486231771,0.006650921789205011
2015-09-17,-0.0007800726885914822,-0.0013602786797016764
2015-09-18,-0.015078204118375238,-0.0006975052162565554
2015-09-21,0.004320330222454816,0.00010784319599310699
2015-09-22,-0.013065591546005062,0.00016995860294022336
2015-09-23,0.0009346134705718878,-0.00244349049282111
2015-09-24,-0.007561160917793686,0.004054360274618585
2015-09-25,0.008875035835625766,-0.009093217572159196
2015-09-28,-0.005662196297607003,-0.019501000208632435
2015-09-29,0.0014394072145591519,-0.0008374057918485445
2015-09-30,0.011802306672337393,0.00655247232198608
2015-10-01,0.002352131965043469,0.0003002193439287648
2015-10-02,-0.012244047947177261,0.02771852366306171
2015-10-05,0.007198281583742583,0.010447680722711183
2015-10-06,-0.0009130200212247308,-0.002492330150667188
2015-10-07,0.005401643098924991,0.0026567261323631186
2015-10-08,-0.0024254369917500185,0.01149411688150348
2015-10-09,0.0007252055723860895,-0.0002162351703582921
2015-10-12,0.00038580021394385433,0.0005083587025749292
2015-10-13,-0.004187448167918495,-0.0018474098141446627
2015-10-14,-0.00034666321961995816,-0.0046727598671642
2015-10-15,0.004180937758355929,0.011261526157320345
2015-10-16,0.0025063531108435733,0.0018388110955138703
2015-10-19,-0.003607181939772275,0.004102552182604358
2015-10-20,-0.0022570228132922088,0.0010498596320271947
2015-10-21,0.0024973201610798412,-0.008583021223470544
2015-10-22,0.00563746494802686,0.011101577989310218
2015-10-23,0.009924718914301023,0.0012092378962667016
2015-10-26,-0.0009923053805633852,-0.0015211542609346873
2015-10-27,-0.004019009288629638,0.0021232028400692826
2015-10-28,0.0019079730491686764,0.009317052650727131
2015-10-29,-0.0028554854043582045,0.0022592998429786793
2015-10-30,0.0010763838012690652,-0.005269172525994015
2015-11-02,0.0018449244769411788,0.00999847480892746
2015-11-03,-0.001979898991593787,0.004830674220899667
2015-11-04,0.0017065893310279634,-0.004643368167873918
2015-11-05,0.00021255530633146336,-0.0012303218410089078
2015-11-06,-0.0019317450096587585,0.0013969144460028726
2015-11-09,-0.0035854542602479222,-0.005864195795545979
2015-11-10,-0.0025959189213645706,0.004933175320514627
2015-11-11,0.0014557601268430087,-0.005273685100149361
2015-11-12,-0.005970013990450274,-0.007863471893786111
2015-11-13,-0.002630445395284675,-0.008821988172086459
2015-11-16,-0.0011096586782861628,0.0160817523003014
2015-11-17,0.0019233080899145882,-0.002570914388550838
2015-11-18,0.002852478735286379,0.012999548785433301
2015-11-19,-0.0006371258295322368,-0.0001636144116087257
2015-11-20,0.004384455215921568,-0.0007584525321078228
2015-11-23,0.0003710804626135822,-0.0015624560910496577
2015-11-24,-0.005544703822749519,0.006985090172193065
2015-11-25,0.0007588703512164674,-0.0009211878830092113
2015-11-27,0.0006015730855077894,0.0006349242024115131
2015-11-30,0.000971435309708113,-0.00520026926960615
2015-12-01,0.0036710595320668116,0.005916262135922334
2015-12-02,-0.0003295408211709816,-0.00995094369140348
2015-12-03,0.0014052156639221547,-0.015480765979509203
2015-12-04,0.002421307506053294,0.0172108587156381
2015-12-07,-0.0018805856199758386,-0.0042463203244076375
2015-12-08,-0.008816917637224142,0.0021768242299911034
2015-12-09,-0.003752835949893951,-0.004149377593360981
2015-12-10,0.0003839981659790048,0.002142689361604555
2015-12-11,-0.012268395447087466,-0.007026479525394258
2015-12-14,0.0008976399065054874,0.004227935823894136
2015-12-15,0.008942188922588024,0.0015403803819913353
2015-12-16,0.006421770893710876,0.008023037007469869
2015-12-17,0.0017819060171857526,-0.01675400356876655
2015-12-18,-0.00444508255563536,-0.013642840248974664
2015-12-21,0.007053209034658003,0.0013299107972495339
2015-12-22,0.005115386176857806,0.003981465987316968
2015-12-23,0.0055519474921406076,0.006773015392177673
2015-12-24,-0.001629348714688006,-0.0001649067139778415
2015-12-28,-0.00401528766749315,0.0017473532737175557
2015-12-29,0.00639008596119206,0.0041744784733983575
2015-12-30,-0.001353744796543488,-0.005569174112942332
